id,amount,status,failure_reason,payment_method,customer_id,previous_attempts,fraud_signal,customer_opted_out,description
TX038,23700,ABANDONED,CHECKOUT_INCOMPLETE,card,CUST_036,2,low,0,Cart purchase
TX039,21400,SUCCESS,,wallet,CUST_040,0,low,0,Cart purchase
TX040,700,SUCCESS,,wallet,CUST_005,0,low,0,Membership fee
TX041,9200,SUCCESS,,upi,CUST_003,0,low,0,Invoice settlement
TX042,19300,FAILED,BANK_TIMEOUT,wallet,CUST_049,1,medium,0,Subscription renewal
TX043,24500,SUCCESS,,netbanking,CUST_034,1,low,0,Subscription renewal
TX044,5800,SUCCESS,,netbanking,CUST_070,1,low,0,Subscription renewal
TX045,25000,SUCCESS,,wallet,CUST_055,1,low,0,Service payment
TX046,6100,SUCCESS,,card,CUST_041,0,low,0,Service payment
TX047,22400,SUCCESS,,netbanking,CUST_009,1,low,0,Service payment
TX048,20500,FAILED,NETWORK_ERROR,card,CUST_014,2,low,0,Membership fee
TX049,2900,SUCCESS,,netbanking,CUST_039,0,low,0,Order checkout
TX050,18700,ABANDONED,CHECKOUT_INCOMPLETE,netbanking,CUST_059,2,low,0,Order checkout
TX051,27000,ABANDONED,CHECKOUT_INCOMPLETE,netbanking,CUST_034,1,low,0,Service payment
TX052,11400,SUCCESS,,wallet,CUST_052,1,low,0,Subscription renewal
TX053,23100,ABANDONED,CHECKOUT_INCOMPLETE,netbanking,CUST_053,3,low,0,Service payment
TX054,22000,SUCCESS,,wallet,CUST_035,1,low,0,Cart purchase
TX055,9100,FAILED,NETWORK_ERROR,netbanking,CUST_030,2,high,0,Order checkout
TX056,9300,SUCCESS,,wallet,CUST_052,1,low,0,Membership fee
TX057,13900,ABANDONED,CHECKOUT_INCOMPLETE,upi,CUST_064,1,low,0,Order checkout
TX058,13600,FAILED,UPI_FAILURE,card,CUST_002,2,low,0,Invoice settlement
TX059,19500,SUCCESS,,wallet,CUST_062,1,low,0,Membership fee
TX060,4500,FAILED,UPI_FAILURE,netbanking,CUST_042,0,low,0,Service payment
TX061,9600,SUCCESS,,upi,CUST_025,0,high,0,Subscription renewal
TX062,15700,SUCCESS,,card,CUST_040,0,low,0,Membership fee
TX063,19800,SUCCESS,,upi,CUST_004,1,medium,1,Service payment
TX064,24600,SUCCESS,,wallet,CUST_044,1,low,0,Invoice settlement
TX065,16500,SUCCESS,,netbanking,CUST_005,1,low,0,Invoice settlement
TX066,8800,SUCCESS,,card,CUST_048,1,low,0,Invoice settlement
TX067,7700,OVERDUE,INVOICE_OVERDUE,wallet,CUST_009,2,high,0,Service payment
TX068,17600,SUCCESS,,wallet,CUST_041,1,low,0,Service payment
TX069,26600,SUCCESS,,netbanking,CUST_068,1,low,0,Subscription renewal
TX070,1400,SUCCESS,,card,CUST_027,1,low,0,Service payment
TX071,7400,SUCCESS,,wallet,CUST_018,1,low,0,Service payment
TX072,20700,SUCCESS,,card,CUST_020,0,low,0,Membership fee
TX073,19300,SUCCESS,,upi,CUST_036,1,medium,0,Invoice settlement
TX074,18200,OVERDUE,INVOICE_OVERDUE,card,CUST_059,1,low,0,Subscription renewal
TX075,22800,ABANDONED,CHECKOUT_INCOMPLETE,wallet,CUST_063,0,low,0,Service payment
TX076,3500,SUCCESS,,wallet,CUST_020,1,low,0,Cart purchase
TX077,700,SUCCESS,,upi,CUST_046,1,low,1,Service payment
TX078,6800,SUCCESS,,wallet,CUST_056,0,low,0,Subscription renewal
TX079,22200,SUCCESS,,card,CUST_048,0,low,0,Membership fee
TX080,14400,SUCCESS,,netbanking,CUST_027,1,low,0,Service payment
TX081,20400,SUCCESS,,upi,CUST_028,0,low,0,Membership fee
TX082,22800,FAILED,DECLINED_BY_BANK,card,CUST_015,1,low,0,Cart purchase
TX083,1500,SUCCESS,,netbanking,CUST_037,1,low,0,Cart purchase
TX084,9400,SUCCESS,,wallet,CUST_018,0,low,0,Invoice settlement
TX085,15400,SUCCESS,,upi,CUST_042,1,medium,0,Cart purchase
TX086,11800,FAILED,DECLINED_BY_BANK,upi,CUST_036,2,low,0,Order checkout
TX087,17800,FAILED,CARD_EXPIRED,upi,CUST_050,3,low,0,Subscription renewal
TX088,10900,FAILED,NETWORK_ERROR,upi,CUST_014,3,low,0,Invoice settlement
TX089,1100,FAILED,BANK_TIMEOUT,upi,CUST_067,0,low,0,Invoice settlement
TX090,24000,SUCCESS,,netbanking,CUST_061,0,low,0,Membership fee
TX091,8400,FAILED,CARD_EXPIRED,card,CUST_066,2,low,0,Service payment
TX092,6500,FAILED,CARD_EXPIRED,card,CUST_015,3,low,0,Order checkout
TX093,16800,FAILED,NETWORK_ERROR,wallet,CUST_005,3,low,0,Service payment
TX094,10800,SUCCESS,,wallet,CUST_004,1,low,0,Service payment
TX095,4500,SUCCESS,,card,CUST_010,0,low,0,Order checkout
TX096,26900,ABANDONED,CHECKOUT_INCOMPLETE,wallet,CUST_001,1,low,0,Subscription renewal
TX097,17700,FAILED,INSUFFICIENT_FUNDS,netbanking,CUST_011,2,low,0,Subscription renewal
TX098,23700,FAILED,INVALID_DETAILS,upi,CUST_058,0,low,0,Membership fee
TX099,15800,SUCCESS,,card,CUST_062,0,low,0,Order checkout
TX100,9600,SUCCESS,,upi,CUST_037,0,low,0,Membership fee
